base__hugo	base__num_variants	base__so	base__all_so	base__note	pubmed__n	pubmed__term	uniprot__acc
AP5S1	20	SYN	SYN(1),INT(4),UT3(6),2KU(3),2KD(6)				Q9NUS5[WEB:]https://www.uniprot.org/uniprot/Q9NUS5
APCDD1L	43	INT	INT(39),2KU(2),2KD(2)				Q8NCL9[WEB:]https://www.uniprot.org/uniprot/Q8NCL9
APMAP	90	SYN	SYN(2),INT(75),UT5(2),2KU(7),2KD(4)				Q9HDC9[WEB:]https://www.uniprot.org/uniprot/Q9HDC9
ARFGEF2	217	MIS	MIS(1),SYN(7),INT(198),UT3(1),2KU(6),2KD(4)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=ARFGEF2[TIAB] AND cancer[MH]	Q9Y6D5[WEB:]https://www.uniprot.org/uniprot/Q9Y6D5
ARHGAP40	59	SYN	SYN(1),INT(55),UT3(2),2KD(1)				Q5TG30[WEB:]https://www.uniprot.org/uniprot/Q5TG30
ASIP	119	FSD	FSD(1),MIS(1),INT(109),UT5(1),2KU(2),2KD(5)		26	http://www.ncbi.nlm.nih.gov/pubmed?term=ASIP[TIAB] AND cancer[MH]	P42127[WEB:]https://www.uniprot.org/uniprot/P42127
ASXL1	76	MIS	MIS(2),SYN(1),INT(66),UT3(2),2KU(5)		83	http://www.ncbi.nlm.nih.gov/pubmed?term=ASXL1[TIAB] AND cancer[MH]	Q8IXJ9[WEB:]https://www.uniprot.org/uniprot/Q8IXJ9
ATP5E	30	MIS	MIS(2),INT(14),UT5(2),2KU(10),2KD(2)				
ATP9A	283	FSI	FSI(1),SPL(1),MIS(2),SYN(2),INT(265),UT5(1),UT3(7),2KU(1),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=ATP9A[TIAB] AND cancer[MH]	O75110[WEB:]https://www.uniprot.org/uniprot/O75110
ATRN	283	FSD	FSD(1),MIS(2),SYN(1),INT(266),UT3(8),2KD(5)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=ATRN[TIAB] AND cancer[MH]	O75882[WEB:]https://www.uniprot.org/uniprot/O75882
AURKA	66	FSI	FSI(1),MIS(2),SYN(2),INT(50),UT3(4),2KU(3),2KD(4)		326	http://www.ncbi.nlm.nih.gov/pubmed?term=AURKA[MH] AND cancer[MH]	O14965[WEB:]https://www.uniprot.org/uniprot/O14965
AVP	13	SYN	SYN(2),INT(1),UT3(1),2KU(5),2KD(4)		192	http://www.ncbi.nlm.nih.gov/pubmed?term=AVP[TIAB] AND cancer[MH]	P01185[WEB:]https://www.uniprot.org/uniprot/P01185
B4GALT5	179	MIS	MIS(3),SYN(1),INT(156),UT5(1),UT3(6),2KU(10),2KD(2)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=B4GALT5[TIAB] AND cancer[MH]	O43286[WEB:]https://www.uniprot.org/uniprot/O43286
BANF2	103	INT	INT(93),2KU(4),2KD(6)				Q9H503[WEB:]https://www.uniprot.org/uniprot/Q9H503
BCAS1	194	MIS	MIS(2),INT(191),2KU(1)		9	http://www.ncbi.nlm.nih.gov/pubmed?term=BCAS1[TIAB] AND cancer[MH]	O75363[WEB:]https://www.uniprot.org/uniprot/O75363
BCAS4	75	INT	INT(70),UT3(3),2KD(2)		6	http://www.ncbi.nlm.nih.gov/pubmed?term=BCAS4[TIAB] AND cancer[MH]	Q8TDM0[WEB:]https://www.uniprot.org/uniprot/Q8TDM0
BCL2L1	141	MIS	MIS(2),INT(130),UT3(5),2KU(4)		1928	http://www.ncbi.nlm.nih.gov/pubmed?term=BCL2L1[MH] AND cancer[MH]	Q07817[WEB:]https://www.uniprot.org/uniprot/Q07817
BFSP1	116	SYN	SYN(2),INT(106),UT3(1),2KU(4),2KD(3)				Q12934[WEB:]https://www.uniprot.org/uniprot/Q12934
BLCAP	4	INT	INT(3),2KU(1)		12	http://www.ncbi.nlm.nih.gov/pubmed?term=BLCAP[TIAB] AND cancer[MH]	P62952[WEB:]https://www.uniprot.org/uniprot/P62952
BMP2	40	MIS	MIS(1),SYN(2),INT(21),UT5(3),UT3(1),2KU(5),2KD(7)		111	http://www.ncbi.nlm.nih.gov/pubmed?term=BMP2[TIAB] AND cancer[MH]	P12643[WEB:]https://www.uniprot.org/uniprot/P12643
BMP7	206	MIS	MIS(3),SYN(3),INT(180),UT5(1),UT3(9),2KU(4),2KD(6)		79	http://www.ncbi.nlm.nih.gov/pubmed?term=BMP7[TIAB] AND cancer[MH]	P18075[WEB:]https://www.uniprot.org/uniprot/P18075
BPI	221	MIS	MIS(3),SYN(2),INT(170),UT3(11),2KU(16),2KD(19)		167	http://www.ncbi.nlm.nih.gov/pubmed?term=BPI[TIAB] AND cancer[MH]	P17213[WEB:]https://www.uniprot.org/uniprot/P17213
BPIFA1	8	SYN	SYN(1),INT(3),2KU(2),2KD(2)				Q9NP55[WEB:]https://www.uniprot.org/uniprot/Q9NP55
BPIFA2	8	INT	INT(7),2KD(1)				Q96DR5[WEB:]https://www.uniprot.org/uniprot/Q96DR5
BPIFA3	3	INT	INT(2),2KD(1)				Q9BQP9[WEB:]https://www.uniprot.org/uniprot/Q9BQP9
BPIFB1	36	MIS	MIS(1),SYN(1),INT(27),2KU(5),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=BPIFB1[TIAB] AND cancer[TIAB]	Q8TDL5[WEB:]https://www.uniprot.org/uniprot/Q8TDL5
BPIFB2	9	INT	INT(4),UT3(1),2KU(4)				Q8N4F0[WEB:]https://www.uniprot.org/uniprot/Q8N4F0
BPIFB3	8	INT	INT(7),2KD(1)				P59826[WEB:]https://www.uniprot.org/uniprot/P59826
BPIFB4	14	INT	INT(14)				P59827[WEB:]https://www.uniprot.org/uniprot/P59827
BPIFB6	6	INT	INT(4),2KU(1),2KD(1)				Q8NFQ5[WEB:]https://www.uniprot.org/uniprot/Q8NFQ5
BTBD3	55	MIS	MIS(10),SYN(2),INT(28),UT3(15)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=BTBD3[TIAB] AND cancer[MH]	Q9Y2F9[WEB:]https://www.uniprot.org/uniprot/Q9Y2F9
C20orf141	4	MIS	MIS(2),SYN(2)				Q9NUB4[WEB:]https://www.uniprot.org/uniprot/Q9NUB4
C20orf144	9	SYN	SYN(1),INT(2),2KU(1),2KD(5)				Q9BQM9[WEB:]https://www.uniprot.org/uniprot/Q9BQM9
C20orf173	10	MIS	MIS(1),SYN(1),INT(5),2KU(2),2KD(1)				Q96LM9[WEB:]https://www.uniprot.org/uniprot/Q96LM9
C20orf194	156	FSI	FSI(1),SPL(1),SYN(2),INT(150),UT3(2)				Q5TEA3[WEB:]https://www.uniprot.org/uniprot/Q5TEA3
C20orf196	347	INT	INT(334),2KU(2),2KD(11)				
C20orf202	10	INT	INT(6),UT3(1),2KU(3)				A1L168[WEB:]https://www.uniprot.org/uniprot/A1L168
C20orf24	10	INT	INT(4),2KU(5),2KD(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=C20orf24[TIAB] AND cancer[MH]	
C20orf27	43	SYN	SYN(1),INT(27),UT3(3),2KU(3),2KD(9)				Q9GZN8[WEB:]https://www.uniprot.org/uniprot/Q9GZN8
C20orf85	26	INT	INT(20),UT3(1),2KU(3),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=C20orf85[TIAB] AND cancer[MH]	Q9H1P6[WEB:]https://www.uniprot.org/uniprot/Q9H1P6
C20orf96	93	SPL	SPL(1),MIS(4),SYN(1),INT(72),UT5(2),UT3(1),2KU(7),2KD(5)				Q9NUD7[WEB:]https://www.uniprot.org/uniprot/Q9NUD7
CABLES2	88	FSD	FSD(1),MIS(3),SYN(4),INT(58),UT3(11),2KU(4),2KD(7)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=CABLES2[TIAB] AND cancer[TIAB]	Q9BTV7[WEB:]https://www.uniprot.org/uniprot/Q9BTV7
CASS4	147	MIS	MIS(1),SYN(1),INT(117),UT5(3),UT3(6),2KU(9),2KD(10)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=CASS4[TIAB] AND cancer[MH]	Q9NQ75[WEB:]https://www.uniprot.org/uniprot/Q9NQ75
CBFA2T2	193	FSI	FSI(1),SYN(1),INT(183),UT3(3),2KU(4),2KD(1)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=CBFA2T2[TIAB] AND cancer[MH]	O43439[WEB:]https://www.uniprot.org/uniprot/O43439
CBLN4	19	SPL	SPL(1),SYN(1),INT(8),UT5(2),UT3(2),2KU(3),2KD(2)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=CBLN4[TIAB] AND cancer[TIAB]	Q9NTU7[WEB:]https://www.uniprot.org/uniprot/Q9NTU7
CCM2L	28	INT	INT(24),2KU(4)				Q9NUG4[WEB:]https://www.uniprot.org/uniprot/Q9NUG4
CD40	9	INT	INT(7),2KU(1),2KD(1)		1724	http://www.ncbi.nlm.nih.gov/pubmed?term=CD40[TIAB] AND cancer[MH]	P25942[WEB:]https://www.uniprot.org/uniprot/P25942
CD93	40	STG	STG(1),MIS(6),SYN(3),INT(1),UT3(16),2KU(6),2KD(7)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=CD93[TIAB] AND cancer[MH]	Q9NPY3[WEB:]https://www.uniprot.org/uniprot/Q9NPY3
CDC25B	71	MIS	MIS(2),SYN(1),INT(59),UT3(3),2KU(2),2KD(4)		137	http://www.ncbi.nlm.nih.gov/pubmed?term=CDC25B[TIAB] AND cancer[MH]	P30305[WEB:]https://www.uniprot.org/uniprot/P30305
CDH22	222	MIS	MIS(4),INT(207),UT5(1),UT3(1),2KU(1),2KD(8)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=CDH22[TIAB] AND cancer[MH]	Q9UJ99[WEB:]https://www.uniprot.org/uniprot/Q9UJ99
CDH26	173	MIS	MIS(3),SYN(1),INT(164),2KU(3),2KD(2)				Q8IXH8[WEB:]https://www.uniprot.org/uniprot/Q8IXH8
CDH4	1572	MIS	MIS(4),SYN(2),INT(1561),UT3(2),2KD(3)		7	http://www.ncbi.nlm.nih.gov/pubmed?term=CDH4[TIAB] AND cancer[MH]	P55283[WEB:]https://www.uniprot.org/uniprot/P55283
CDK5RAP1	67	SYN	SYN(2),INT(57),UT3(1),2KU(4),2KD(3)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=CDK5RAP1[TIAB] AND cancer[MH]	Q96SZ6[WEB:]https://www.uniprot.org/uniprot/Q96SZ6
CDS2	137	INI	INI(1),SYN(2),INT(106),UT3(17),2KU(6),2KD(5)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=CDS2[TIAB] AND cancer[MH]	O95674[WEB:]https://www.uniprot.org/uniprot/O95674
CEBPB	5	FSI	FSI(1),UT3(1),2KU(3)		26	http://www.ncbi.nlm.nih.gov/pubmed?term=CEBPB[TIAB] AND cancer[MH]	P17676[WEB:]https://www.uniprot.org/uniprot/P17676
CENPB	8	MIS	MIS(1),UT5(1),UT3(2),2KU(2),2KD(2)		6	http://www.ncbi.nlm.nih.gov/pubmed?term=CENPB[TIAB] AND cancer[MH]	P07199[WEB:]https://www.uniprot.org/uniprot/P07199
CEP250	94	FSD	FSD(2),MIS(9),SYN(9),INT(62),UT5(1),UT3(7),2KU(2),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=CEP250[TIAB] AND cancer[MH]	Q9BV73[WEB:]https://www.uniprot.org/uniprot/Q9BV73
CFAP61	674	MIS	MIS(4),SYN(2),INT(664),2KU(1),2KD(3)				Q8NHU2[WEB:]https://www.uniprot.org/uniprot/Q8NHU2
CHD6	131	INT	INT(127),UT3(1),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=CHD6[TIAB] AND cancer[MH]	Q8TD26[WEB:]https://www.uniprot.org/uniprot/Q8TD26
CHGB	54	IND	IND(1),MIS(3),SYN(3),INT(31),UT5(1),UT3(1),2KU(10),2KD(4)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=CHGB[TIAB] AND cancer[MH]	P05060[WEB:]https://www.uniprot.org/uniprot/P05060
CHMP4B	42	INT	INT(29),UT3(1),2KU(6),2KD(6)				Q9H444[WEB:]https://www.uniprot.org/uniprot/Q9H444
CNBD2	154	IND	IND(1),MIS(3),INT(141),2KU(6),2KD(3)				Q96M20[WEB:]https://www.uniprot.org/uniprot/Q96M20
COL9A3	36	MIS	MIS(4),INT(25),UT3(3),2KU(1),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=COL9A3[TIAB] AND cancer[MH]	Q14050[WEB:]https://www.uniprot.org/uniprot/Q14050
COMMD7	46	IND	IND(1),INT(42),UT5(1),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=COMMD7[TIAB] AND cancer[MH]	Q86VX2[WEB:]https://www.uniprot.org/uniprot/Q86VX2
COX4I2	22	MIS	MIS(1),SYN(1),INT(10),2KU(8),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=COX4I2[TIAB] AND cancer[MH]	Q96KJ9[WEB:]https://www.uniprot.org/uniprot/Q96KJ9
CPNE1	39	FSI	FSI(1),MIS(1),INT(34),2KU(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=CPNE1[TIAB] AND cancer[MH]	Q99829[WEB:]https://www.uniprot.org/uniprot/Q99829
CPXM1	32	FSI	FSI(1),MIS(3),INT(9),2KU(6),2KD(13)				Q96SM3[WEB:]https://www.uniprot.org/uniprot/Q96SM3
CRLS1	65	FSI	FSI(1),MIS(1),INT(50),UT3(6),2KU(6),2KD(1)				Q9UJA2[WEB:]https://www.uniprot.org/uniprot/Q9UJA2
CRNKL1	48	FSD	FSD(1),MIS(1),SYN(1),INT(24),UT5(1),UT3(2),2KU(9),2KD(9)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=CRNKL1[TIAB] AND cancer[MH]	Q9BZJ0[WEB:]https://www.uniprot.org/uniprot/Q9BZJ0
CSE1L	125	FSI	FSI(1),FSD(1),INI(1),MIS(5),SYN(2),INT(104),UT3(2),2KU(3),2KD(6)		39	http://www.ncbi.nlm.nih.gov/pubmed?term=CSE1L[TIAB] AND cancer[MH]	P55060[WEB:]https://www.uniprot.org/uniprot/P55060
CSNK2A1	117	MIS	MIS(1),SYN(1),INT(108),UT5(1),2KU(6)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=CSNK2A1[TIAB] AND cancer[MH]	P68400[WEB:]https://www.uniprot.org/uniprot/P68400
CSRP2BP	94	IND	IND(1),MIS(3),SYN(1),INT(75),UT3(7),2KU(3),2KD(4)				
CST1	29	INT	INT(13),UT5(1),UT3(2),2KU(6),2KD(7)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=CST1[TIAB] AND cancer[MH]	P01037[WEB:]https://www.uniprot.org/uniprot/P01037
CST11	21	MIS	MIS(2),INT(6),2KU(5),2KD(8)				Q9H112[WEB:]https://www.uniprot.org/uniprot/Q9H112
CST2	10	INT	INT(4),UT3(1),2KU(3),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=CST2[TIAB] AND cancer[MH]	P09228[WEB:]https://www.uniprot.org/uniprot/P09228
CST3	29	INT	INT(10),UT3(8),2KU(3),2KD(8)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=CST3[TIAB] AND cancer[MH]	P01034[WEB:]https://www.uniprot.org/uniprot/P01034
CST4	26	MIS	MIS(1),INT(6),UT3(3),2KU(6),2KD(10)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=CST4[TIAB] AND cancer[MH]	P01036[WEB:]https://www.uniprot.org/uniprot/P01036
CST5	12	MIS	MIS(1),INT(6),2KU(3),2KD(2)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=CST5[TIAB] AND cancer[MH]	P28325[WEB:]https://www.uniprot.org/uniprot/P28325
CST7	39	MIS	MIS(1),INT(24),2KU(5),2KD(9)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=CST7[TIAB] AND cancer[MH]	O76096[WEB:]https://www.uniprot.org/uniprot/O76096
CST8	19	INT	INT(5),UT5(1),2KU(8),2KD(5)				O60676[WEB:]https://www.uniprot.org/uniprot/O60676
CST9	11	INT	INT(3),2KU(6),2KD(2)				Q5W186[WEB:]https://www.uniprot.org/uniprot/Q5W186
CST9L	9	SYN	SYN(1),INT(3),UT5(1),2KU(4)				Q9H4G1[WEB:]https://www.uniprot.org/uniprot/Q9H4G1
CSTF1	28	MIS	MIS(1),SYN(1),INT(15),UT5(1),UT3(1),2KU(5),2KD(4)				Q05048[WEB:]https://www.uniprot.org/uniprot/Q05048
CSTL1	28	INT	INT(11),UT5(1),2KU(2),2KD(14)				Q9H114[WEB:]https://www.uniprot.org/uniprot/Q9H114
CTCFL	51	MIS	MIS(3),SYN(6),INT(32),UT5(1),2KU(7),2KD(2)		14	http://www.ncbi.nlm.nih.gov/pubmed?term=CTCFL[TIAB] AND cancer[MH]	Q8NI51[WEB:]https://www.uniprot.org/uniprot/Q8NI51
CTNNBL1	39	INT	INT(29),2KU(9),2KD(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=CTNNBL1[TIAB] AND cancer[MH]	Q8WYA6[WEB:]https://www.uniprot.org/uniprot/Q8WYA6
CTSA	22	FSD	FSD(1),INT(10),UT3(1),2KU(5),2KD(5)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=CTSA[TIAB] AND cancer[MH]	P10619[WEB:]https://www.uniprot.org/uniprot/P10619
CTSZ	22	FSD	FSD(1),MIS(1),SYN(1),INT(16),2KU(2),2KD(1)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=CTSZ[MH] AND cancer[MH]	Q9UBR2[WEB:]https://www.uniprot.org/uniprot/Q9UBR2
CYP24A1	79	FSI	FSI(1),MIS(2),SYN(2),INT(60),UT5(1),UT3(6),2KU(6),2KD(1)		84	http://www.ncbi.nlm.nih.gov/pubmed?term=CYP24A1[TIAB] AND cancer[MH]	Q07973[WEB:]https://www.uniprot.org/uniprot/Q07973
DBNDD2	20	SYN	SYN(1),INT(10),2KU(4),2KD(5)				Q9BQY9[WEB:]https://www.uniprot.org/uniprot/Q9BQY9
DDRGK1	28	MIS	MIS(2),INT(20),2KU(3),2KD(3)				Q96HY6[WEB:]https://www.uniprot.org/uniprot/Q96HY6
DDX27	64	MIS	MIS(4),SYN(4),INT(47),UT3(2),2KU(2),2KD(5)				Q96GQ7[WEB:]https://www.uniprot.org/uniprot/Q96GQ7
DEFB115	1	2KU	2KU(1)				Q30KQ5[WEB:]https://www.uniprot.org/uniprot/Q30KQ5
DEFB116	29	FSI	FSI(1),MIS(1),INT(15),2KU(4),2KD(8)				Q30KQ4[WEB:]https://www.uniprot.org/uniprot/Q30KQ4
DEFB118	25	INT	INT(9),UT3(2),2KU(6),2KD(8)				Q96PH6[WEB:]https://www.uniprot.org/uniprot/Q96PH6
DEFB119	53	INT	INT(38),UT5(1),2KU(7),2KD(7)				Q8N690[WEB:]https://www.uniprot.org/uniprot/Q8N690
DEFB121	14	FSD	FSD(1),INT(2),2KU(4),2KD(7)				Q5J5C9[WEB:]https://www.uniprot.org/uniprot/Q5J5C9
DEFB123	27	INT	INT(16),2KU(6),2KD(5)				Q8N688[WEB:]https://www.uniprot.org/uniprot/Q8N688
DEFB124	16	INT	INT(13),2KU(3)				Q8NES8[WEB:]https://www.uniprot.org/uniprot/Q8NES8
DEFB125	6	SYN	SYN(1),INT(3),2KU(1),2KD(1)				Q8N687[WEB:]https://www.uniprot.org/uniprot/Q8N687
DEFB126	11	SPL	SPL(1),INT(7),2KU(2),2KD(1)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=DEFB126[TIAB] AND cancer[MH]	Q9BYW3[WEB:]https://www.uniprot.org/uniprot/Q9BYW3
DEFB127	25	INT	INT(4),2KU(15),2KD(6)				Q9H1M4[WEB:]https://www.uniprot.org/uniprot/Q9H1M4
DEFB128	12	STG	STG(1),MIS(1),INT(3),2KU(1),2KD(6)				Q7Z7B8[WEB:]https://www.uniprot.org/uniprot/Q7Z7B8
DEFB129	23	MIS	MIS(1),SYN(3),INT(3),2KU(7),2KD(9)				Q9H1M3[WEB:]https://www.uniprot.org/uniprot/Q9H1M3
DEFB132	21	MIS	MIS(1),SYN(1),INT(2),UT3(8),2KU(4),2KD(5)				Q7Z7B7[WEB:]https://www.uniprot.org/uniprot/Q7Z7B7
DHX35	146	STG	STG(1),MIS(6),SYN(3),INT(126),UT3(2),2KU(4),2KD(4)				Q9H5Z1[WEB:]https://www.uniprot.org/uniprot/Q9H5Z1
DIDO1	44	FSI	FSI(1),FSD(1),INI(1),MIS(2),SYN(3),INT(32),UT3(3),2KD(1)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=DIDO1[TIAB] AND cancer[MH]	Q9BTC0[WEB:]https://www.uniprot.org/uniprot/Q9BTC0
DLGAP4	315	MIS	MIS(1),SYN(3),INT(307),2KU(2),2KD(2)				Q9Y2H0[WEB:]https://www.uniprot.org/uniprot/Q9Y2H0
DNMT3B	61	FSI	FSI(1),MIS(1),SYN(2),INT(53),UT3(2),2KU(1),2KD(1)		328	http://www.ncbi.nlm.nih.gov/pubmed?term=DNMT3B[TIAB] AND cancer[MH]	Q9UBC3[WEB:]https://www.uniprot.org/uniprot/Q9UBC3
DNTTIP1	86	STG	STG(1),MIS(2),SYN(1),INT(66),UT3(1),2KU(7),2KD(8)				Q9H147[WEB:]https://www.uniprot.org/uniprot/Q9H147
DOK5	247	MIS	MIS(2),SYN(1),INT(229),2KU(11),2KD(4)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=DOK5[TIAB] AND cancer[MH]	Q9P104[WEB:]https://www.uniprot.org/uniprot/Q9P104
DPM1	56	MIS	MIS(1),INT(47),UT3(2),2KU(2),2KD(4)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=DPM1[TIAB] AND cancer[MH]	O60762[WEB:]https://www.uniprot.org/uniprot/O60762
DSN1	47	MIS	MIS(2),INT(34),UT3(5),2KU(3),2KD(3)				Q9H410[WEB:]https://www.uniprot.org/uniprot/Q9H410
DSTN	70	INT	INT(60),UT5(1),UT3(3),2KU(3),2KD(3)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=DSTN[TIAB] AND cancer[MH]	P60981[WEB:]https://www.uniprot.org/uniprot/P60981
DTD1	301	INT	INT(294),UT3(2),2KU(2),2KD(3)				Q8TEA8[WEB:]https://www.uniprot.org/uniprot/Q8TEA8
DUSP15	64	MIS	MIS(1),SYN(3),INT(47),UT5(2),UT3(4),2KD(7)				Q9H1R2[WEB:]https://www.uniprot.org/uniprot/Q9H1R2
DYNLRB1	30	MIS	MIS(1),SYN(1),INT(24),2KU(1),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=DYNLRB1[TIAB] AND cancer[MH]	Q9NP97[WEB:]https://www.uniprot.org/uniprot/Q9NP97
DZANK1	169	MIS	MIS(2),SYN(2),INT(155),UT3(4),2KU(3),2KD(3)				Q9NVP4[WEB:]https://www.uniprot.org/uniprot/Q9NVP4
E2F1	25	FSI	FSI(1),FSD(1),MIS(1),INT(19),UT5(1),2KD(2)		763	http://www.ncbi.nlm.nih.gov/pubmed?term=E2F1[TIAB] AND cancer[MH]	Q01094[WEB:]https://www.uniprot.org/uniprot/Q01094
EBF4	110	MIS	MIS(1),INT(104),UT3(1),2KU(1),2KD(3)				Q9BQW3[WEB:]https://www.uniprot.org/uniprot/Q9BQW3
EDEM2	16	FSD	FSD(1),MIS(1),INT(14)				Q9BV94[WEB:]https://www.uniprot.org/uniprot/Q9BV94
EDN3	89	FSD	FSD(1),INT(82),2KU(5),2KD(1)		9	http://www.ncbi.nlm.nih.gov/pubmed?term=EDN3[TIAB] AND cancer[MH]	P14138[WEB:]https://www.uniprot.org/uniprot/P14138
EFCAB8	126	FSI	FSI(1),FSD(2),MIS(4),INT(111),2KU(6),2KD(2)				A8MWE9[WEB:]https://www.uniprot.org/uniprot/A8MWE9
